Name,Cases,Location
MacDougall Correctional Institution,397,"Ridgeville, S.C."
Tulsa County jail,396,"Tulsa, Okla."
South Mississippi Correctional Institution,395,"Leakesville, Miss."
Southeast Correctional Center,395,"Charleston, Mo."
Maximum Security prison,395,"Cranston, R.I."
DeKalb County jail,395,"Decatur, Ga."
Roxbury Correctional Institution,393,"Hagerstown, Md."
Maryland Correctional Training Center,392,"Hagerstown, Md."
Metropolitan Transition Center prison,391,"Baltimore, Md."
East Jersey State Prison,390,"Rahway, N.J."
Reverend C.A. Holliday Transfer Facility prison,390,"Huntsville, Texas"
Travis County State Jail,390,"Austin, Texas"
Lucile Plane State Jail,388,"Dayton, Texas"
State Correctional Institution at Chester,387,"Chester, Pa."
State Correctional Institution at Benner Township,386,"Bellafonte, Pa."
Augusta State Medical Prison,385,"Wrightsville, Ga."
Putnamville Correctional Facility,384,"Greencastle, Ind."
Saint Joseph County jail,382,"South Bend, Ind."
Franklin Correctional Institution,381,"Carrabelle, Fla."
Polk County jail,381,"Des Moines, Iowa"
Mercer County jail,381,"Hopewell Township, N.J."
Shawnee Correctional Center,380,"Vienna, Ill."
Debra K. Johnson Rehabilitiation Center prison,380,"Nashville, Tenn."
Saint Marys Correctional Center,380,"Saint Marys, W.Va."
Warren Correctional Institution,379,"Manson, N.C."
Coffee Creek Correctional Facility,379,"Wilsonville, Ore."
Idaho Correctional Institution Orofino,378,"Orofino, Idaho"
Clinton Correctional Facility,378,"Village of Dannemora, N.Y."
Lancaster County jail,378,"Lancaster, Pa."
South Texas ICE Processing Center,378,"Pearsall, Texas"
Chicago federal prison,377,"Chicago, Ill."
Western Missouri Correctional Center,376,"Cameron, Mo."
William H. Fauver Youth Correctional Facility,374,"Clinton Township, N.J."
State Correctional Institution at Houtzdale,373,"Houtzdale, Pa."
Thomas Goree Unit prison,373,"Huntsville, Texas"
Three Rivers federal prison,372,"Three Rivers, Texas"
New Hampshire State Prison for Men,371,"Concord, N.H."
Piedmont Correctional Institution,370,"Salisbury, N.C."
Trinidad Correctional Facility,369,"Model, Colo."
